Place ID	Place Name	Place Owner	Location	Longitude	Latitude
104779	'Rich Avon' Homestead & outbuildings, Rich Avon Road, AVON PLAINS	Northern Grampians Shire	Rich Avon Road AVON PLAINS, NORTHERN GRAMPIANS SHIRE	142.96614	-36.45151
22203	'Salisbury Buildings'	Hobsons Bay City	195-203 Nelson Place WILLIAMSTOWN, Hobsons Bay City	144.9025980	-37.8623580
111704	'St. Arnaud Produce Store', 135-137 Napier Street, ST ARNAUD	Northern Grampians Shire	135-137  Napier Street  ST ARNAUD, NORTHERN GRAMPIANS SHIRE	143.25463	-36.61262
21961	'Strachan, Murray and Shannon Woolstore (facades only)	Greater Geelong City	95 Malop Street GEELONG, Greater Geelong City	144.3622559	-38.1476984
113761	'Swanwater' Homestead & Cemetery, Sunraysia Highway, SWANWATER	Northern Grampians Shire	Sunraysia Highway SWANWATER, NORTHERN GRAMPIANS SHIRE	143.11885	-36.54468
104887	'Swinton', Glenorchy Donald Road, GLENORCHY	Northern Grampians Shire	Glenorchy Donald Road GLENORCHY, NORTHERN GRAMPIANS SHIRE	142.65557	-36.91041
104815	'Sycamores', Sycamores Road, CONCONGELLA	Northern Grampians Shire	Sycamores Road CONCONGELLA, NORTHERN GRAMPIANS SHIRE	142.83613	-37.03585
105135	'The Gap' Charcoal Pits, Mount Bolangum Flora and Fauna Reserve, Stuart Mill - Rostron Road, KANYA	Northern Grampians Shire	Stuart Mill - Rostron Road KANYA, NORTHERN GRAMPIANS SHIRE	142.99891	-36.78237
12142	'THE ISLAND' DIVERSION CUTTING	Heritage Victoria	24 KANGAROO GROUND-WARRANDYTE ROAD NORTH WARRANDYTE, Nillumbik Shire	145.22905	-37.73770
14969	'The Pines' Scout Camp	Hobsons Bay City	Altona Road ALTONA, Hobsons Bay City	144.8509915	-37.8577207
